feature_set,description,threshold,n_features_declared,n_features_used,validation_positive_rate,regression_r2,regression_mae,roc_auc,pr_auc,brier,mean_predicted_advantage,features_used
full_30,All pre-declared Tier-A time-series descriptors.,0.0,30,30,0.2515,0.2879937609495311,0.12776762230857078,0.76246515562603,0.5041947279013261,0.15922558833546696,-0.11716136843325795,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
without_direct_predictability,All Tier-A descriptors except cheap direct predictability proxies.,0.0,26,26,0.2515,0.2743748557823036,0.1295478448023187,0.7581829796106461,0.500728632766812,0.1596878706356167,-0.11715705895587926,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
persistence_nonstationarity_spectral_volatility,"Memory, stationarity, spectral, noise, and volatility descriptors only.",0.0,17,17,0.2515,0.24668595676997207,0.13758412929164807,0.7562158113443588,0.5023901438755214,0.16055781799811772,-0.11825094838142802,"ac_timescale,ami_first_min,dfa_alpha,hurst_rs,adf_p,kpss_p,n_diffs,ext_trend_strength,ext_changepoint_count,ext_psd_slope,spectral_entropy,dom_freq,spectral_flatness,ext_spectral_centroid,ext_volatility_ac1,ext_arch_lm5,snr_db"
chaos_nonlinearity_complexity_only,"Chaos, nonlinearity, and entropy/complexity descriptors only.",0.0,8,8,0.2515,0.2144693341809737,0.14017937111281184,0.6965370635239997,0.448942754525405,0.16959569565822538,-0.11684522168914561,"nl_gain,lyapunov,zero_one_K,perm_entropy,sample_entropy,ext_lz_complexity,ext_recurrence_rate,ext_recurrence_determinism"
full_30,All pre-declared Tier-A time-series descriptors.,0.025,30,30,0.0912,0.2879937609495311,0.12776762230857078,0.7588914362683779,0.24078925870721912,0.07652102954732752,-0.11716136843325795,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
without_direct_predictability,All Tier-A descriptors except cheap direct predictability proxies.,0.025,26,26,0.0912,0.2743748557823036,0.1295478448023187,0.7570939531790524,0.24005690452197573,0.0766353093269167,-0.11715705895587926,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
persistence_nonstationarity_spectral_volatility,"Memory, stationarity, spectral, noise, and volatility descriptors only.",0.025,17,17,0.0912,0.24668595676997207,0.13758412929164807,0.7418043072028664,0.23153385654269026,0.07717390909983332,-0.11825094838142802,"ac_timescale,ami_first_min,dfa_alpha,hurst_rs,adf_p,kpss_p,n_diffs,ext_trend_strength,ext_changepoint_count,ext_psd_slope,spectral_entropy,dom_freq,spectral_flatness,ext_spectral_centroid,ext_volatility_ac1,ext_arch_lm5,snr_db"
chaos_nonlinearity_complexity_only,"Chaos, nonlinearity, and entropy/complexity descriptors only.",0.025,8,8,0.0912,0.2144693341809737,0.14017937111281184,0.7098709306276254,0.20841340478106238,0.07811980536094301,-0.11684522168914561,"nl_gain,lyapunov,zero_one_K,perm_entropy,sample_entropy,ext_lz_complexity,ext_recurrence_rate,ext_recurrence_determinism"
without_direct_predictability,All Tier-A descriptors except cheap direct predictability proxies.,0.05,26,26,0.0601,0.2743748557823036,0.1295478448023187,0.7904298772181485,0.22449859034872807,0.05143535198600887,-0.11715705895587926,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
full_30,All pre-declared Tier-A time-series descriptors.,0.05,30,30,0.0601,0.2879937609495311,0.12776762230857078,0.789379122889662,0.22021179589857037,0.05153192666726297,-0.11716136843325795,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
persistence_nonstationarity_spectral_volatility,"Memory, stationarity, spectral, noise, and volatility descriptors only.",0.05,17,17,0.0601,0.24668595676997207,0.13758412929164807,0.7733669581799602,0.21578330192754547,0.05188946374044049,-0.11825094838142802,"ac_timescale,ami_first_min,dfa_alpha,hurst_rs,adf_p,kpss_p,n_diffs,ext_trend_strength,ext_changepoint_count,ext_psd_slope,spectral_entropy,dom_freq,spectral_flatness,ext_spectral_centroid,ext_volatility_ac1,ext_arch_lm5,snr_db"
chaos_nonlinearity_complexity_only,"Chaos, nonlinearity, and entropy/complexity descriptors only.",0.05,8,8,0.0601,0.2144693341809737,0.14017937111281184,0.757820290649393,0.20097325540399832,0.05206124308625696,-0.11684522168914561,"nl_gain,lyapunov,zero_one_K,perm_entropy,sample_entropy,ext_lz_complexity,ext_recurrence_rate,ext_recurrence_determinism"
full_30,All pre-declared Tier-A time-series descriptors.,0.1,30,30,0.0389,0.2879937609495311,0.12776762230857078,0.845057973685358,0.2180429458556018,0.033717416734164306,-0.11716136843325795,"ac_timescale,ami_first_min,mem_capacity,r2_linear,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_gbm,predictability_gap_linear_gbm,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
without_direct_predictability,All Tier-A descriptors except cheap direct predictability proxies.,0.1,26,26,0.0389,0.2743748557823036,0.1295478448023187,0.8436081300373741,0.2242732771110107,0.03358911758276307,-0.11715705895587926,"ac_timescale,ami_first_min,mem_capacity,nl_gain,snr_db,lyapunov,zero_one_K,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,perm_entropy,sample_entropy,hurst_rs,ext_volatility_ac1,ext_arch_lm5,ext_recurrence_rate,ext_recurrence_determinism,ext_psd_slope,ext_spectral_centroid,ext_trend_strength,ext_changepoint_count,ext_lz_complexity"
persistence_nonstationarity_spectral_volatility,"Memory, stationarity, spectral, noise, and volatility descriptors only.",0.1,17,17,0.0389,0.24668595676997207,0.13758412929164807,0.8259607203506907,0.21336143183189046,0.033981906711653825,-0.11825094838142802,"ac_timescale,ami_first_min,dfa_alpha,hurst_rs,adf_p,kpss_p,n_diffs,ext_trend_strength,ext_changepoint_count,ext_psd_slope,spectral_entropy,dom_freq,spectral_flatness,ext_spectral_centroid,ext_volatility_ac1,ext_arch_lm5,snr_db"
chaos_nonlinearity_complexity_only,"Chaos, nonlinearity, and entropy/complexity descriptors only.",0.1,8,8,0.0389,0.2144693341809737,0.14017937111281184,0.8205696450537743,0.19072545774891922,0.03402353911918168,-0.11684522168914561,"nl_gain,lyapunov,zero_one_K,perm_entropy,sample_entropy,ext_lz_complexity,ext_recurrence_rate,ext_recurrence_determinism"
