feature,importance_mean,importance_std,corr_with_advantage,direction,ridge_coef,ridge_abs_coef,shap_mean_abs
ext_trend_strength,0.17803714575067814,0.03974689029658275,-0.035675186739759036,negative,-0.04414694549868395,0.04414694549868395,
ext_psd_slope,0.15234146703847018,0.055049174499676584,0.22720999381476623,positive,0.0026464710721384173,0.0026464710721384173,
pred_nrmse_gbm,0.1269646753502294,0.045261080781074485,0.04407587652099754,positive,0.0006323720856047756,0.0006323720856047756,
ext_spectral_centroid,0.10817635546792252,0.049681139134329,0.19438478394992054,positive,0.0031929639691569535,0.0031929639691569535,
nl_gain,0.08245160195539337,0.014295264680634802,-0.07895835186314785,negative,-0.07618624925943382,0.07618624925943382,
ac_timescale,0.0562874029899488,0.025655830454963318,0.07363059921050023,positive,0.043944779696665444,0.043944779696665444,
lyapunov,0.05193076849787687,0.015551795268071685,-0.21715241843649158,negative,-0.03005105913286378,0.03005105913286378,
ext_volatility_ac1,0.034880814417937174,0.015558527778363035,-0.16811692161638125,negative,0.010363590746503185,0.010363590746503185,
dfa_alpha,0.03110662249382846,0.01097050293145068,-0.2010716903402096,negative,-0.030965006019120618,0.030965006019120618,
r2_linear,0.028287840851849738,0.037505220681318424,-0.12905491960960974,negative,-0.007487786977661032,0.007487786977661032,
zero_one_K,0.025212721189535492,0.019754444088935244,0.09058697151470237,positive,-0.021302965992032814,0.021302965992032814,
snr_db,0.02204575674530556,0.0032741073112048775,0.06651109419026284,positive,0.020128882684904086,0.020128882684904086,
perm_entropy,0.02027800453949341,0.010494924901637026,0.2351298241461861,positive,0.07900696849280826,0.07900696849280826,
mem_capacity,0.014006596139270685,0.003640402338314757,-0.074458332289134,negative,-0.033851667138753386,0.033851667138753386,
sample_entropy,0.012279322168723955,0.00408158318441498,0.17415195584623547,positive,-0.005632542135985174,0.005632542135985174,
spectral_entropy,0.012101555616383984,0.004253210992275987,0.13558027479262247,positive,0.05580076254062499,0.05580076254062499,
ext_arch_lm5,0.01166851528804734,0.007924222012868779,-0.18200180120207857,negative,0.015653400433083865,0.015653400433083865,
kpss_p,0.008867438003636808,0.0013539647006224024,-0.0026134271115672205,negative,0.014922282992999044,0.014922282992999044,
adf_p,0.0070077610854384145,0.004690507682668881,-0.03966612816387607,negative,0.027077380754582554,0.027077380754582554,
ext_recurrence_determinism,0.006415698458923927,0.004738944064329755,-0.21339720125106693,negative,0.01074962562362146,0.01074962562362146,
ami_first_min,0.0034746965028841863,0.002087147474618695,-0.19320213803159686,negative,-0.0066320530942648535,0.0066320530942648535,
dom_freq,0.0032647059324478304,0.001696445032649287,0.13842415611814712,positive,-0.0016948008017457503,0.0016948008017457503,
ext_changepoint_count,0.0020065823300750582,0.001726775596004047,0.06297256353060919,positive,0.003451674559160438,0.003451674559160438,
ext_recurrence_rate,0.00013357540363229115,0.00015315752231365412,0.03268225731846191,positive,0.004782263821869862,0.004782263821869862,
n_diffs,-8.082160176754449e-06,1.61643203535089e-05,-0.09144940555023524,negative,-0.037546582497677373,0.037546582497677373,
ext_lz_complexity,-4.7304822135460045e-05,0.0016844537568276347,0.16656822606497662,positive,-0.014643311183022813,0.014643311183022813,
