variant,n_qubits,depth,virtual_nodes,feature_dim,reupload,amplitude_damping,dephasing,mean_qrc_val_nrmse,mean_qrc_test_nrmse,mean_matched_esn_val_nrmse,mean_matched_esn_test_nrmse,mean_advantage_vs_matched_esn,qrc_win_rate_vs_matched_esn,mean_qrc_minus_esn_test_nrmse,seconds
standard_v3_current_6q60,6,5,5,60,False,0.0,0.0,0.8251114618167826,0.8721110297151944,0.7500297669745757,0.8081816036884566,-0.0639294260267381,0.19230769230769232,0.0639294260267381,4.566561698913574
clean_capacity_8q80,8,5,5,80,False,0.0,0.0,0.857861233052986,0.8929009518041917,0.7479884833037883,0.8095101132497723,-0.08339083855441938,0.34615384615384615,0.08339083855441938,7.6133482456207275
clean_capacity_10q100,10,5,5,100,False,0.0,0.0,0.8246024686525489,0.8778994174488208,0.7542463270658798,0.7973713763689279,-0.08052804107989281,0.11538461538461539,0.08052804107989281,11.849175930023193
clean_deeper_6q84,6,7,7,84,False,0.0,0.0,0.8319956789085666,0.9235189621791589,0.7541856139683377,0.790511846914839,-0.13300711526431985,0.07692307692307693,0.13300711526431985,7.0286688804626465
clean_deeper_8q112,8,7,7,112,False,0.0,0.0,0.852628454044813,0.9049686532802685,0.7582107092232366,0.7913574443226086,-0.11361120895766007,0.11538461538461539,0.11361120895766007,10.326799154281616
weak_amp_damping_6q60,6,5,5,60,False,0.005,0.0,0.9640276906221967,1.0828085989946603,0.7500297669745757,0.8081816036884566,-0.27462699530620394,0.11538461538461539,0.27462699530620394,12.262992143630981
weak_dephasing_6q60,6,5,5,60,False,0.0,0.005,1.0292877117726535,1.0724002270667243,0.7500297669745757,0.8081816036884566,-0.26421862337826785,0.038461538461538464,0.26421862337826785,4.959343194961548
encoding_reupload_6q60,6,5,5,60,True,0.0,0.0,1.0300395431726872,1.057513728245615,0.7500297669745757,0.8081816036884566,-0.24933212455715864,0.07692307692307693,0.24933212455715864,8.432366132736206
encoding_reupload_8q80,8,5,5,80,True,0.0,0.0,1.0004278990956519,1.0664230481009436,0.7479884833037883,0.8095101132497723,-0.25691293485117117,0.15384615384615385,0.25691293485117117,13.252939939498901
