family,n,mean_delta_J0_minus_J1,delta_ci_low,delta_ci_high,median_delta_J0_minus_J1,frac_J1_better,mean_advantage_J1_vs_esn,mean_advantage_J0_vs_esn,mechanism_signal
overall,1000,0.18558477812344387,0.16143614438973752,0.21063326299144844,0.0839866758784642,0.727,-0.2030513219775137,-0.3886361001009575,positive
chaotic_flow,200,0.1809309046071124,0.09899739785333858,0.25363726201308334,0.16191339753760636,0.725,-0.35781618519286146,-0.538747089799974,positive
chaotic_map,200,0.3719852408208905,0.3274684392440342,0.4173826412218996,0.2853133539429092,0.94,-0.20179611521934057,-0.5737813560402311,positive
colored_noise,20,-0.045937825506570946,-0.15509382393696866,0.03182333436443185,0.016965050760809397,0.6,-0.06023887621103563,-0.014301050704464696,null_or_mixed
input_driven,100,0.15470809575352032,0.12377858250880922,0.18231024705900245,0.1365733265227861,0.85,-0.20052344025995225,-0.3552315360134726,positive
linear_stochastic,60,0.06653400947148076,0.03931793319938962,0.09645771929654617,0.01435477933594953,0.6666666666666666,-0.06367598317062423,-0.130209992642105,positive
long_range,40,0.005673278845867333,-0.0046768370948393955,0.01628534510818331,-0.0005351173337919679,0.5,-0.017570155981775505,-0.023243434827642837,null_or_mixed
nonlinear_stochastic,120,0.0037021207372266757,-0.0018926450424690665,0.009058309763941032,5.3267441450899344e-05,0.5083333333333333,0.006763923545008062,0.0030618028077813867,null_or_mixed
nonstationary,140,-0.09630066634363645,-0.1539459716666387,-0.03835119666127932,0.0,0.42142857142857143,-0.28629661315066024,-0.18999594680702384,negative
oscillatory,120,0.5772363587511751,0.5129616207140747,0.6386376690946094,0.7284524060250732,0.975,-0.21732100083047795,-0.7945573595816531,positive
