feature,importance_mean,importance_std,corr_with_advantage,direction
pred_nrmse_gbm,0.15543812962610248,,0.061664211974804053,positive
dfa_alpha,0.08591323417119309,,-0.07078916410024973,negative
predictability_gap_linear_gbm,0.08574976005629437,,0.0017505512301828744,positive
ext_spectral_centroid,0.08503073762485236,,0.06778535613325695,positive
ext_volatility_ac1,0.06380859834461168,,-0.14651884511425645,negative
ext_trend_strength,0.06293728661870367,,0.14522709259762487,positive
nl_gain,0.05432655926398244,,-0.20489333824917125,negative
lyapunov,0.04125666017574261,,-0.044207837706889644,negative
ext_psd_slope,0.03913921343945165,,0.15008165894905867,positive
ac_timescale,0.03830378604447251,,0.11572495907162357,positive
kpss_p,0.036550317944004464,,-0.16021593559546582,negative
snr_db,0.03622676875346729,,0.035035729120911144,positive
forecastability,0.03560441767962053,,-0.07133185627870134,negative
spectral_entropy,0.02799107688603831,,0.07133185627870137,positive
adf_p,0.02239082517852831,,0.08341143588935603,positive
ami_first_min,0.019711181620674773,,-0.14053301696044262,negative
sample_entropy,0.018203009654497216,,0.10397506272381643,positive
hurst_rs,0.018165132101211387,,0.0020900757210172167,positive
ext_recurrence_determinism,0.017852302227860693,,-0.08350356364656895,negative
zero_one_K,0.016262158468881127,,0.04634363965413814,positive
dom_freq,0.00936222546426305,,0.030178499597173114,positive
ext_arch_lm5,0.0064883155745208134,,-0.08981318096735717,negative
r2_linear,0.005972426894909124,,-0.09966378847108694,negative
spectral_flatness,0.004728740804692523,,0.08087691221396315,positive
ext_changepoint_count,0.004016768891010147,,0.04221202775266243,positive
perm_entropy,0.003696248404308068,,0.18536482425550954,positive
mem_capacity,0.0025520959669483416,,-0.025812322322653666,negative
ext_lz_complexity,0.002322022119156969,,0.05917106134996083,positive
ext_recurrence_rate,0.0,,0.02722706245767594,positive
n_diffs,0.0,,0.04589488485543926,positive
